State,Density,Pop,LandArea,cars_registered,trucks_registered,Max_1yr_prob,Average_1yr_prob,averageDailyTraffic,avgDailyTruckTraffic,lengthOfMaximumSpan,structureLength,Age,Avg. Daily Precipitation (mm),ADTT,state name,snowfall,freezethaw
DC,11665.0984,711571,61,208141,128699.966,0.0,0.0,33610.86517756709,3.374578177727784,26.170416197975047,106.40650811505651,50.60629921259842,3.1,1284.7421324120214,DC,29.02329594477998,81.11906816220879
NJ,1213.2917,8922547,7354,2798699,3080935.74,0.0,0.0,21693.116985813907,4.64767916669507,20.62689494386221,59.97593545704364,47.34829882816494,3.3433333333333333,1390.9678887881714,NJ,42.44318136761218,89.01935322712386
RI,1021.9903,1056738,1034,420313,419313.782,0.0,0.0,19260.974512123004,9.216026020106446,23.795434654051107,60.96082199881732,46.68243642814903,3.372,1784.8039290360794,RI,45.30114709851552,85.32304318488531
MA,889.6632,6939373,7800,2208468,2674324.285,0.0,0.0,23384.57468727647,7.8490465639665725,20.537339276679926,49.224426455452345,52.023473891728756,3.3392857142857144,2302.027405746817,MA,64.58213654942726,91.06547913407681
CT,736.8589,3567871,4842,1302339,1422502.0269999998,0.0,0.0,18295.89743177248,5.7001206549842,22.82113300775765,52.47108072392784,43.57082447572537,3.405,1572.0951285262925,CT,54.2371071120424,91.81561074818191
MD,624.5923,6062917,9707,2006904,2209445.212,0.0,0.0,20228.447014280835,5.615803322152369,23.818906541869694,74.3509550685903,46.399381364613255,3.1579166666666665,1358.7239217065269,MD,35.78353285368839,84.88740782756665
DE,500.2735,975033,1949,419199,519961.3927,0.0,0.0,14957.74619459532,7.919063903976396,24.760001341111927,88.46743110038294,37.974988265271904,3.1533333333333338,1304.1702045195511,DE,28.100018296029766,77.25013722022321
NY,413.6005,19491339,47126,4563035,5821795.712,0.0,0.0,10393.089155631176,8.187384937753547,22.98504772091113,55.5754895872955,44.41447301833063,3.0462903225806457,931.4427298441552,NY,95.90109013264973,90.50374058903971
FL,403.6579,21646155,53625,7778493,8534913.248,0.0,0.0,16369.460716585316,7.277831550524456,18.44736815869389,97.65044220583208,30.436676705784613,3.656119402985074,1334.8641763008145,FL,0.3152818058899517,5.564338096698148
OH,286.791,11718568,40861,4605459,5752346.188999999,0.0,0.0,5920.014598124596,6.3605994459784005,15.900244350789105,35.8633310511251,42.64854985070781,2.729090909090908,666.3906713429564,OH,69.11462327042447,91.56838805780077
PA,286.3905,12813969,44743,4463267,5792845.749,0.0,0.0,6287.741228690392,7.068616937701313,18.497339736034924,41.40581801398444,54.62710542854897,3.0625373134328346,672.6242789692693,PA,74.20197510227423,97.70141250720607
CA,255.1516,39747267,155779,14860967,14991713.53,0.0,0.0,24258.070903955864,7.206279215821954,21.892843040288096,69.22060949422512,55.79915873475513,1.966724137931035,1667.9628605462194,CA,13.078865022708412,17.189136489074414
IL,228.7574,12700381,55519,4655844,5866613.9229999995,0.0,0.0,5089.875165900924,5.519884060862704,17.22873608882006,43.182915010624654,44.497234242307094,2.855098039215686,533.6873520875405,IL,56.131710487050206,89.9939864769354
HI,220.5494,1416589,6423,512386,708545.8841,0.0,0.0,24853.303780756152,0.4845769153830766,17.079619923984858,69.4862892578519,65.9623924784957,0.0,31.44660132026448,HI,0.0,0.0
VA,217.0662,8571946,39490,3251339,4034926.127,0.0,0.0,8195.010380713413,3.575396662166862,18.27120473863004,58.651105942366435,41.03510595731792,3.0632352941176477,410.74076426880487,VA,33.61014143788867,86.97010844835432
NC,215.9229,10497741,48618,3317918,4531463.42,0.0,0.0,4959.28585880688,7.149431232079477,15.158623590162172,46.4089360360011,36.01451260439726,3.3535000000000013,596.6761171465756,NC,21.318838166650398,70.22621043445311
IN,187.5346,6718616,35826,2261440,3637290.375,0.0,0.0,4372.336905782495,4.607841154338538,14.936795690075884,35.150361650142024,38.837463139725436,3.069891304347826,253.18569529450187,IN,58.88593442891462,90.19727287617384
GA,184.78900000000002,10627767,57513,3536055,4665930.197,0.0,0.0,10483.311805027935,5.4450717586859705,15.744319121526491,63.25470072912186,35.39326026638235,3.395345911949687,657.7596908438749,GA,7.3765035944124016,43.04102391892228
MI,177.2312,10020472,56539,3257473,4993400.461,0.0,0.0,8167.494083703709,4.849424213870567,18.049260775668266,41.797032679301466,41.704318604437844,2.3398795180722898,601.1793872734925,MI,95.44232792799565,85.53423824198123
SC,171.2222,5147111,30061,1808401,2459838.614,0.0,0.0,3783.6313964604547,5.498784797363176,11.642026510938509,53.890308818414596,34.29436916476816,3.2560869565217403,337.22337969028837,SC,10.04246327798832,47.697956143183276
TN,165.72799999999998,6833793,41235,2325004,3280359.4260000004,0.0,0.0,9412.426571018845,7.122917035764308,16.893177738476506,51.361010252277424,36.46840245626819,3.4481052631578955,1162.4326591743782,TN,27.340744866229812,72.99662052882006
NH,152.3346,1363852,8953,505381,732066.647,0.0,0.0,6905.355333620583,5.094931059953218,17.318262957035802,31.94977686815092,50.58031207681889,3.287,400.2699473716592,NH,95.38369266539844,91.59431409849924
WA,115.3597,7666343,66456,2925765,4075464.3710000003,0.0,0.0,7835.535509819552,10.140289669023636,22.560636899152797,64.21552338161446,40.10068017351153,3.0910256410256416,721.3667427246494,WA,74.70942101418629,75.30189471121194
KY,113.5604,4484047,39486,1691085,2490197.505,0.0,0.0,5016.022585745168,2.0685782094164638,17.886036631931894,43.36229973076003,34.584461724332016,3.34425,289.2581140902785,KY,39.01185730929021,84.07771822358345
TX,111.3457,29087070,261232,8176879,13522053.0,0.0,0.0,9903.120029786056,8.460125315231705,16.786295134592727,78.11921892996321,35.10938236451718,2.120826771653543,894.345138361796,TX,6.852890774737779,28.254300737380795
WI,107.6971,5832661,54158,2092584,3163814.336,0.0,0.0,5735.546845889423,3.1174328898685353,17.44276220840004,37.00693799365378,36.90345456453856,2.349999999999999,391.4026770907072,WI,96.70706463404288,86.46085182821797
LA,107.6887,4652581,43204,1389436,2374552.402,0.0,0.0,4806.3283503072025,6.694257909915433,11.035773646155366,105.02295756295536,34.591665853964365,3.947031249999999,614.9666518522431,LA,3.9244106146622384,22.18402851627047
AL,96.7173,4898246,50645,2065463,2872743.275,0.0,0.0,4493.979876515852,7.760034997363737,14.179243812406972,67.98646335591751,38.605572833487436,3.7029850746268664,531.1076208669787,AL,8.190850287826397,45.20879413310869
MO,89.4338,6147861,68742,2141050,3262212.05,0.0,0.0,3281.0527415280885,10.52912210027766,16.05501580426058,42.729549816281626,43.07921542932373,3.077826086956521,396.6251086479454,MO,43.603300638999606,89.43500068709633
WV,74.5466,1791951,24038,562984,1064328.9209999999,0.0,0.0,3250.412228898574,6.618394924826572,19.99385009155147,45.05283350955158,34.624564819351676,3.0358181818181817,420.93666200325134,WV,66.21268851319049,93.47183710721892
MN,71.0302,5655925,79627,2146187,3274929.561,0.0,0.0,4708.34335159285,2.521103758849784,16.686097996198942,45.717578530016404,39.8327051525656,1.9901149425287357,233.05692777329904,MN,99.21290056903266,86.44650738481424
VT,68.046,627180,9217,221936,367647.066,0.0,0.0,2217.9959264627355,5.255519109009078,19.70861240369329,32.04472347242528,54.95308566633611,3.1900000000000004,196.8525786863948,VT,120.50084430615112,90.36694114522066
AZ,64.0445,7275070,113594,2391624,3399703.687,0.0,0.0,13077.833312135052,10.816974041741345,21.778473723767988,67.30953575764079,35.119569867607105,0.8326666666666666,1467.2539856622755,AZ,7.436029897378582,34.635004953261536
MS,63.6766,2987895,46923,822864,1198469.571,0.0,0.0,2074.308305594256,5.6377234768535125,12.703046988173124,51.774107135402524,29.6381823187366,3.86060975609756,230.53484136586601,MS,8.004239509141923,41.69311349551383
AR,58.1611,3026412,52035,926789,1805509.5969999998,0.0,0.0,2789.3830477181427,2.1305667580687437,12.543413378607145,50.15884011939102,34.933306473379304,3.4130666666666665,133.0169093320083,AR,17.876666898963272,63.0004878228752
OK,57.5691,3948950,68595,1337624,2267209.469,0.0,0.0,2398.616435886509,7.347411157053817,14.470478246417414,37.239307238074275,42.35643710401731,2.5754545454545457,238.5635116670304,OK,20.974784070026665,70.07564665134909
IA,56.7162,3167997,55857,1268996,2277193.983,0.0,0.0,1152.1608707164967,9.172819328153103,14.974046877706778,34.762085300274066,43.18771902592244,2.4381818181818184,128.33185147781538,IA,73.04925686453791,95.65483861816736
CO,55.6777,5770545,103642,1785058,3271595.227,0.0,0.0,7104.246118261214,7.1853504780437785,17.763028368011106,42.03381205684018,34.054189947388956,1.3447619047619046,572.6934989541822,CO,73.95295474477108,137.9581055755115
OR,44.2337,4245901,95988,1542461,2400560.6,0.0,0.0,5537.386877420271,10.144825740486867,19.03872815952907,50.633527956348935,37.898934398025006,3.0672222222222216,691.6762989038469,OR,56.83522008850957,69.78931233865444
ME,43.5138,1342097,30843,387233,651349.3642,0.0,0.0,4261.246194235638,7.209893098628791,20.775603445018234,46.611264307031746,48.76198390813281,3.30125,350.1586726098326,ME,88.11497071092572,86.74734845122927
UT,39.2066,3221610,82170,925052,1340619.0590000001,0.0,0.0,11371.513342016498,10.701883578799722,22.789272951942266,44.885168486788864,34.9890792505761,1.1310344827586205,1573.1412493738017,UT,77.41046265549457,124.0449407271038
KS,35.6038,2910931,81759,987259,1628493.666,0.0,0.0,1572.6434649001392,3.364393485822931,13.947069843495877,38.55497458150104,44.24475803596145,2.2182857142857144,157.25575239430034,KS,38.76296768303121,94.56741525540147
NV,28.1198,3087025,109781,1047508,1328704.272,0.0,0.0,17052.019746176888,12.733958694623995,24.93629197540588,62.52031373167416,29.583596090178148,0.6611764705882353,1324.0980738609426,NV,34.89246614224313,80.09582894061039
NE,25.2645,1940919,76824,677040,1218764.637,0.0,0.0,1198.4609109931187,3.359247834380576,14.03654111055285,28.313741013163977,43.18271325688823,1.8615053763440863,110.49890007180349,NE,57.054592961653604,106.33313673786394
ID,21.6616,1790182,82643,550006,1218729.627,0.0,0.0,2800.2961717338667,11.333118730061116,15.072650574624234,31.503205596339914,37.760397048083945,1.5404545454545455,362.9354993849838,ID,106.4504197827007,118.84014157377358
NM,17.28,2096034,121298,609494,1066511.825,0.0,0.0,6702.949830361656,12.815003970259152,16.808989027647346,53.121139825308894,38.15130296686638,0.9803030303030306,959.8760550061301,NM,33.17636633364404,116.43447637552349
SD,11.7744,892631,75811,353180,785101.4636,0.0,0.0,1002.4091973297053,5.475907235738919,12.937690226848359,32.795982693703124,44.97518745847439,1.5959090909090912,113.83220109469015,SD,79.1719577200866,105.81407480852148
ND,11.0274,760900,69001,276545,724941.4319,0.0,0.0,878.4341194003682,4.079437438164535,14.321233828850989,31.507302533534485,44.26031634710516,1.3905660377358489,84.2527724830573,ND,101.65742319271645,93.52530620140979
MT,7.3828,1074532,145546,441392,1111168.745,0.0,0.0,1811.5572984204853,3.668208164731983,15.765570953181179,36.31633649444575,41.653998781383294,1.3463157894736844,93.07890207321705,MT,120.64776210606456,124.33572916875364
WY,5.8952,572381,97093,193523,592554.9635,0.0,0.0,2031.407070632519,14.269525426230716,16.235254262305745,39.44013137501128,38.72947080965385,1.2054545454545458,454.0693159642845,WY,106.20126971782172,133.9993744399547
AK,1.2893,735720,570641,173487,591079.2184,0.0,0.0,2518.7063505390065,5.992779662155355,23.467370789535494,52.245995231217954,48.233368035732276,0.0,99.98090438929457,AK,170.40142641470143,62.73168827112289
